config,Year,Trt_code,Date,SWD_AC,Canopy_AC,SWD_obs,SWD_USDA,root_raw,stage,dap,gdd_cum,z_root_m,canopy_cover_frac,Es_mm,Tr_mm,DeepPerc_mm,Tmean,Tmax,Tmin,ETo,Rain,Irr,irr7,irr14,rain7,rain14,eto7,eto14,days_since_irr,cum_irr,cum_rain,cum_eto,LV,GF
z105_i85,2012,1,2012-05-25,19.492124396707062,1.0253415388655285,9.5,16.5,250.0,,26.0,170.81500000000003,0.3632042236964614,0.0367908364229044,0.7418366506921328,0.1133432531135234,0.0,13.788333333333334,20.39,8.59,3.080429485416971,0.0,0.0,0.0,0.0,18.034,20.827999999999996,34.73861077361653,70.17618679392763,999,0.0,61.21399999999999,481.2322125635401,100,100
z105_i85,2012,1,2012-05-31,9.792989188524396,2.157938959200005,8.8,6.8,335.0,,32.0,222.77100000000004,0.4235401400422253,0.0843782469552127,4.136253258083696,0.5634087979713702,0.0,15.408291666666669,22.44,7.636,5.978116480167955,0.0,0.0,24.7,24.7,1.5240000000000018,20.828,43.371280937077245,80.4328257248344,1,24.7,62.73799999999999,521.5230640152004,100,100
z105_i85,2012,1,2012-06-05,23.364946939746083,4.34473985279527,23.2,20.5,410.0,V6,37.0,282.3710000000001,0.471626049213841,0.1742348908495063,2.064779701941775,2.7232433618132794,0.0,23.3125,30.39,14.34,9.639048177050427,1.524,0.0,24.7,24.7,4.572000000000002,19.304,50.49049122375436,90.95375931042508,6,24.7,65.78599999999999,558.9783425275236,100,100
z105_i85,2012,1,2012-06-07,-4.163331838544652,6.020714163833267,9.1,0.0,440.0,,39.0,310.9310000000001,0.4903935058271342,0.2414456355762383,4.022580622608102,2.1564627253345474,0.0,21.245416666666667,28.21,15.45,5.724743934348226,13.212,0.0,29.7,54.4,16.514000000000003,18.038,50.986848233500496,94.35812917057774,1,54.4,79.252,572.5099122487009,100,100
z105_i85,2012,1,2012-06-08,4.816912216247961,7.087451912160623,3.6,2.8,455.0,,40.0,324.7210000000001,0.4996865236120791,0.2842244765292329,4.385755615444275,3.0784195410866197,2.759819038650672,22.698333333333334,31.18,13.58,7.113575072493404,0.0,0.0,29.7,54.4,16.259999999999998,18.038,51.382411065278575,98.39127475765417,2,54.4,79.252,579.6234873211943,100,100
z105_i85,2012,1,2012-06-13,18.438042473798014,15.367234852045875,24.8,18.6,540.0,,45.0,382.7660000000001,0.5453205739046572,0.5658365094474933,0.1071427268492596,5.720959693364433,7.565361384654064e-05,22.312083333333334,33.55,9.78,7.92625597002916,0.0,0.0,0.0,29.7,13.212000000000002,16.514,48.82480085385032,100.06502163317055,7,54.4,79.252,615.609969168203,100,100
z105_i85,2012,1,2012-06-15,3.9978822533754688,21.29511355510488,9.8,3.7,580.0,,47.0,411.47600000000006,0.5632171062683229,0.674216049873892,1.2929426751045985,5.236863921508262,5.625205728350079e-07,22.609166666666663,28.57,16.83,6.300509774824604,0.254,0.0,35.4,65.1,0.2540000000000018,16.514000000000003,49.85381860239431,101.23622966767289,1,89.8,79.506,629.4773059235886,100,100
z105_i85,2012,1,2012-06-18,18.284235836914576,34.225461717874964,26.1,18.1,640.0,,50.0,449.59100000000007,0.5897147724411134,0.7748055687275486,0.3558750089663144,7.421784815246434,4.3793434937952344e-10,26.388749999999998,36.86,12.35,8.162593465531245,0.254,0.0,35.4,65.1,0.5080000000000018,15.498000000000001,49.61466024257243,101.4347042858135,4,89.8,79.76,650.7739986362867,100,100
z105_i85,2012,1,2012-06-20,4.821750141049865,47.42515875338333,12.6,4.8,680.0,,52.0,473.951,0.6071626339566236,0.8249293138420524,0.5918851437559685,5.229410999198051,3.6896084865546146e-12,18.627083333333335,23.9,13.89,5.772213116288185,0.0,0.0,66.0,66.0,2.032000000000002,15.244,49.81559648900293,98.64039734285325,1,120.4,81.284,665.4255656572059,100,100
z105_i85,2012,1,2012-06-24,33.48125363385726,67.85510873801259,52.1,37.8,760.0,,56.0,530.4110000000001,0.6415753539303661,0.8750139642097458,0.0279739807216417,8.17510091212985,0.0,28.72458333333333,38.09,15.89,8.336355262668803,0.0,0.0,30.6,66.0,2.286000000000002,2.54,54.627622278407216,103.25920577230863,5,120.4,81.792,697.2390274491627,100,100
