config,Year,Trt_code,Date,SWD_AC,Canopy_AC
z060_i85,2012,1,2012-04-30,5.165139429896866,0.0
z060_i85,2012,1,2012-05-01,6.662037354503614,0.0
z060_i85,2012,1,2012-05-02,8.011901314416566,0.0
z060_i85,2012,1,2012-05-03,9.292069232134063,0.0
z060_i85,2012,1,2012-05-04,10.442653868107971,0.0
z060_i85,2012,1,2012-05-05,11.063421813442748,0.4875
z060_i85,2012,1,2012-05-06,11.559447802662024,0.5738742470010385
z060_i85,2012,1,2012-05-07,9.706805091213932,0.6755521053764285
z060_i85,2012,1,2012-05-08,12.146621981756384,0.6693127862309256
z060_i85,2012,1,2012-05-09,12.812750991666583,0.6619209548484838
z060_i85,2012,1,2012-05-10,13.41944597052456,0.6531637219019253
z060_i85,2012,1,2012-05-11,13.559303873292176,0.6427888736522139
z060_i85,2012,1,2012-05-12,13.597813708382239,0.6304976080365332
z060_i85,2012,1,2012-05-13,13.91110060980229,0.6159359289835971
z060_i85,2012,1,2012-05-14,14.070156652124144,0.5986844511072908
z060_i85,2012,1,2012-05-15,14.070156652124144,0.5782463211474993
z060_i85,2012,1,2012-05-16,14.070156652124144,0.554032908288127
z060_i85,2012,1,2012-05-17,14.070156652124144,0.5253468512245973
z060_i85,2012,1,2012-05-18,14.070156652124144,0.49136197372586166
z060_i85,2012,1,2012-05-19,14.070156652124144,0.45109949024665036
z060_i85,2012,1,2012-05-20,14.070156652124144,0.40339981629684524
z060_i85,2012,1,2012-05-21,14.070156652124144,0.3468891716891303
z060_i85,2012,1,2012-05-22,14.070156652124144,0.2799400148177439
z060_i85,2012,1,2012-05-23,5.953739052122361,0.3295392106851125
z060_i85,2012,1,2012-05-24,9.278407037198098,0.35366846265546714
z060_i85,2012,1,2012-05-25,10.556040032916842,0.3508635755051884
z060_i85,2012,1,2012-05-26,12.389797939454768,0.3470754484909838
z060_i85,2012,1,2012-05-27,13.353561999811213,0.3425843198888633
z060_i85,2012,1,2012-05-28,14.114588961723932,0.3372623347704505
z060_i85,2012,1,2012-05-29,14.742164825601025,0.3309557851011238
z060_i85,2012,1,2012-05-30,-3.309891216824987,0.38959385018573317
z060_i85,2012,1,2012-05-31,3.3561271500622154,0.4586212869980985
z060_i85,2012,1,2012-06-01,7.951361253277411,0.5334863528765328
z060_i85,2012,1,2012-06-02,10.121820518829772,0.5713171589752758
z060_i85,2012,1,2012-06-03,11.831864086606963,0.5700752401727323
z060_i85,2012,1,2012-06-04,13.994826115582743,0.5667530155857066
z060_i85,2012,1,2012-06-05,15.419844431240998,0.5613880358757841
z060_i85,2012,1,2012-06-06,-6.088139679435328,0.660853613053554
z060_i85,2012,1,2012-06-07,-6.888171470197375,0.777942296551844
z060_i85,2012,1,2012-06-08,5.085656521435537,0.9157765120901498
z060_i85,2012,1,2012-06-09,7.882256809059595,1.0579594593804662
z060_i85,2012,1,2012-06-10,10.091977715607232,1.1810115316900494
z060_i85,2012,1,2012-06-11,11.592382784439412,1.2676275546389038
z060_i85,2012,1,2012-06-12,12.647611912955501,1.3416401508657434
z060_i85,2012,1,2012-06-13,13.71547624956707,1.339803344211468
z060_i85,2012,1,2012-06-14,-12.442523969315214,1.5771869441822142
z060_i85,2012,1,2012-06-15,4.1881507495025705,1.856629681994743
z060_i85,2012,1,2012-06-16,7.152469571552321,2.1711317763858404
z060_i85,2012,1,2012-06-17,9.365346256189259,2.494283584929757
z060_i85,2012,1,2012-06-18,13.0657220555983,2.8076132783986862
z060_i85,2012,1,2012-06-19,-9.51559584880563,3.3050604225870006
z060_i85,2012,1,2012-06-20,1.0364650677215577,3.89064422831805
z060_i85,2012,1,2012-06-21,3.8934228511721747,4.566608872877811
z060_i85,2012,1,2012-06-22,8.496741051166754,5.359638633839394
z060_i85,2012,1,2012-06-23,12.001261384180962,6.109448585215696
z060_i85,2012,1,2012-06-24,14.421627704338663,6.709850336654337
z060_i85,2012,1,2012-06-25,-16.300964098889146,7.898687814230099
z060_i85,2012,1,2012-06-26,1.6221418660076046,9.298161070128364
z060_i85,2012,1,2012-06-27,6.473446218835666,10.945590118183146
z060_i85,2012,1,2012-06-28,9.9280951556083,12.76248415889341
z060_i85,2012,1,2012-06-29,-23.2554595589168,15.023714844200276
z060_i85,2012,1,2012-06-30,5.16024905941512,17.685585729997456
z060_i85,2012,1,2012-07-01,10.401930587793606,20.616643220735607
z060_i85,2012,1,2012-07-02,15.28557459695223,23.55866574226863
z060_i85,2012,1,2012-07-03,18.427959274628535,26.323565512589497
z060_i85,2012,1,2012-07-04,-18.04171356946523,30.98752069111754
z060_i85,2012,1,2012-07-05,5.763463057953348,36.313494301931584
z060_i85,2012,1,2012-07-06,7.942967810354309,41.07249357345029
z060_i85,2012,1,2012-07-07,-12.719387795942287,44.94293720402507
z060_i85,2012,1,2012-07-08,-0.167229954462085,47.89756266166719
z060_i85,2012,1,2012-07-09,6.344650474410897,49.912905059281776
z060_i85,2012,1,2012-07-10,11.723546006173072,49.912905059281776
z060_i85,2012,1,2012-07-11,16.184788499613003,49.912905059281776
z060_i85,2012,1,2012-07-12,20.632753720405425,49.912905059281776
z060_i85,2012,1,2012-07-13,-21.607969751131197,49.912905059281776
z060_i85,2012,1,2012-07-14,6.684843372375489,49.912905059281776
z060_i85,2012,1,2012-07-15,13.94174298767792,49.912905059281776
z060_i85,2012,1,2012-07-16,14.884438587334726,49.912905059281776
z060_i85,2012,1,2012-07-17,21.37835344975207,49.912905059281776
z060_i85,2012,1,2012-07-18,-3.510798859631011,49.912905059281776
z060_i85,2012,1,2012-07-19,6.023583001639728,49.912905059281776
z060_i85,2012,1,2012-07-20,13.49734426291884,49.912905059281776
z060_i85,2012,1,2012-07-21,18.586513607891103,49.912905059281776
z060_i85,2012,1,2012-07-22,23.485915374383588,49.912905059281776
z060_i85,2012,1,2012-07-23,-11.60123008273002,49.912905059281776
z060_i85,2012,1,2012-07-24,5.901450450142581,49.912905059281776
z060_i85,2012,1,2012-07-25,11.528669012997357,49.912905059281776
z060_i85,2012,1,2012-07-26,16.247844788637142,49.912905059281776
z060_i85,2012,1,2012-07-27,-7.273440667112118,49.912905059281776
z060_i85,2012,1,2012-07-28,5.207750837370941,49.912905059281776
z060_i85,2012,1,2012-07-29,11.112333906664382,49.912905059281776
z060_i85,2012,1,2012-07-30,14.92844669719487,49.912905059281776
z060_i85,2012,1,2012-07-31,19.153090373965853,49.912905059281776
z060_i85,2012,1,2012-08-01,-10.660061476406796,49.912905059281776
z060_i85,2012,1,2012-08-02,4.0154476078085715,49.912905059281776
z060_i85,2012,1,2012-08-03,9.84646329314923,49.912905059281776
z060_i85,2012,1,2012-08-04,14.330385886347669,49.912905059281776
z060_i85,2012,1,2012-08-05,18.227563367029543,49.912905059281776
z060_i85,2012,1,2012-08-06,-5.913289363729976,49.912905059281776
z060_i85,2012,1,2012-08-07,1.1900115052378855,49.912905059281776
z060_i85,2012,1,2012-08-08,7.626482939430248,49.912905059281776
z060_i85,2012,1,2012-08-09,12.714164248088998,49.912905059281776
z060_i85,2012,1,2012-08-10,-12.192774115323424,49.912905059281776
z060_i85,2012,1,2012-08-11,3.444112261813341,49.912905059281776
z060_i85,2012,1,2012-08-12,10.040564328750293,49.912905059281776
z060_i85,2012,1,2012-08-13,13.065623275884343,49.912905059281776
z060_i85,2012,1,2012-08-14,16.638579394141395,49.912905059281776
z060_i85,2012,1,2012-08-15,-9.462517812168612,49.59531522198856
z060_i85,2012,1,2012-08-16,2.018007869551514,49.237309662696326
z060_i85,2012,1,2012-08-17,6.655435718611426,48.833745173427715
z060_i85,2012,1,2012-08-18,11.130335021414044,48.378824033877216
z060_i85,2012,1,2012-08-19,14.553432356805223,47.86601071974
z060_i85,2012,1,2012-08-20,15.917867835118376,47.28793801154219
z060_i85,2012,1,2012-08-21,-9.59468288380606,46.636301155105706
z060_i85,2012,1,2012-08-22,2.871113992278643,45.901738553127416
z060_i85,2012,1,2012-08-23,8.006705784283126,45.073697273854386
z060_i85,2012,1,2012-08-24,11.029837491069818,44.14028144471533
z060_i85,2012,1,2012-08-25,14.389751826349178,43.08808135288865
z060_i85,2012,1,2012-08-26,17.165922447865228,41.9019807976182
z060_i85,2012,1,2012-08-27,19.446022907646203,40.56493992664609
z060_i85,2012,1,2012-08-28,-11.797733987301351,39.05775043693015
z060_i85,2012,1,2012-08-29,2.562021340618239,37.358759622791034
z060_i85,2012,1,2012-08-30,8.648217782619568,35.44355930708744
z060_i85,2012,1,2012-08-31,12.010072317102322,33.28463518651783
z060_i85,2012,1,2012-09-01,13.852333734124992,30.850971553445078
z060_i85,2012,1,2012-09-02,15.68304222292189,28.10760571556737
z060_i85,2012,1,2012-09-03,16.933730747477174,25.015125712103615
z060_i85,2012,1,2012-09-04,18.02699647053755,21.529104110543685
z060_i85,2012,1,2012-09-05,-23.510293954660746,17.599459749729366
z060_i85,2012,1,2012-09-06,2.226321176158891,13.169738259888392
z060_i85,2012,1,2012-09-07,5.9770477247545015,8.176301023371495
z060_i85,2012,1,2012-09-08,7.899771105674398,2.547410924475338
z060_i85,2012,2,2012-04-30,5.165139429896866,0.0
z060_i85,2012,2,2012-05-01,6.662037354503614,0.0
z060_i85,2012,2,2012-05-02,8.011901314416566,0.0
z060_i85,2012,2,2012-05-03,9.292069232134063,0.0
z060_i85,2012,2,2012-05-04,10.442653868107971,0.0
z060_i85,2012,2,2012-05-05,11.063421813442748,0.4875
z060_i85,2012,2,2012-05-06,11.559447802662024,0.5738742470010385
z060_i85,2012,2,2012-05-07,9.706805091213932,0.6755521053764285
z060_i85,2012,2,2012-05-08,12.146621981756384,0.6693127862309256
