variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,SWD_obs,SWD_USDA,root_raw,stage
default_maize,2012,1,100/100,2012-05-25,26.0,170.81500000000003,0.6733489891676036,0.10740141098783167,25.783022991005645,0.0,0.5558955649735842,0.31759992669325177,0.0,0.0,17.988503596414798,9.5,16.5,250.0,
default_maize,2012,1,100/100,2012-05-31,32.0,222.77100000000004,0.7637921635692013,0.2718982234164365,73.03821978337388,0.0,3.6601624040263654,1.6298589278803204,0.0,0.0,12.041903989440758,8.8,6.8,335.0,
default_maize,2012,1,100/100,2012-06-05,37.0,282.3710000000001,0.8358726511604564,0.561200233628773,175.32959902376794,0.0,1.5741001766650606,7.070070023504929,0.0,0.0,38.251718032774086,23.2,20.5,410.0,V6
default_maize,2012,1,100/100,2012-06-07,39.0,310.9310000000001,0.8640049553393366,0.6718451757056189,230.83480810517966,0.0,1.2898328671890322,4.747235163026829,0.0,0.0,9.697215966995671,9.1,0.0,440.0,
default_maize,2012,1,100/100,2012-06-08,40.0,324.7210000000001,0.8779351329042943,0.7150163238517704,260.50332003548033,0.0,1.3439712407171893,6.14425388278173,0.0,0.0,17.18544109049459,3.6,2.8,455.0,
default_maize,2012,1,100/100,2012-06-13,45.0,382.7660000000001,0.9463402988358248,0.8382214317168932,414.86578309166896,0.0,0.7202621016828717,7.406253808708658,0.0,0.0,53.903568804325126,24.8,18.6,540.0,
default_maize,2012,1,100/100,2012-06-15,47.0,411.47600000000006,0.9731670928216016,0.8717057740790121,481.71290020173046,0.0,0.42843993160065047,6.164294917608004,0.0,0.0,32.76452828380125,9.8,3.7,580.0,
default_maize,2012,1,100/100,2012-06-18,50.0,449.59100000000007,1.012886934468944,0.9006425251414176,584.0021424777376,0.0,0.26727750322248045,8.147334893136811,0.0,0.0,54.13605878428955,26.1,18.1,640.0,
default_maize,2012,1,100/100,2012-06-20,52.0,473.951,1.0390411735616103,0.9167079052935622,651.6907513035566,0.0,0.20640874471158532,5.579527762703566,0.0,0.0,37.0767495270048,12.6,4.8,680.0,
default_maize,2012,1,100/100,2012-06-24,56.0,530.4110000000001,1.0906256330795945,0.9318933087762281,791.3028101861889,0.0,0.1040208868573426,8.495498077170017,0.0,0.0,69.6871407640333,52.1,37.8,760.0,
default_maize,2012,1,100/100,2012-06-26,58.0,561.801,1.1160784461585804,0.9391378787155413,861.5670060943206,0.0,0.1493834590349753,7.651579212992688,0.0,0.0,46.42036484360052,19.4,18.4,800.0,
default_maize,2012,1,100/100,2012-06-28,60.0,591.336,1.1413185107833455,0.952936278033198,932.1791811301989,0.0,0.06491108888298634,6.445134904318391,0.0,0.0,58.27488830825486,41.9,33.1,840.0,V12
default_maize,2012,1,100/100,2012-07-03,65.0,662.6260000000001,1.2035462927673455,0.9568751943059411,1107.9484132649966,0.0,0.044888738085580804,5.983193886177232,0.0,0.0,53.105554212675074,55.8,40.0,920.0,V14
default_maize,2012,1,100/100,2012-07-05,67.0,693.686,1.2281094765787457,0.9577450402955893,1177.6623660379544,0.0,0.04606731560039047,6.632726828967107,0.0,0.0,22.971043148890885,20.8,15.9,940.0,V14
default_maize,2012,1,100/100,2012-07-10,72.0,760.8460000000001,1.2887593419691175,0.9588257236290677,1349.4614432377014,0.2500491084474242,0.04047139413207845,6.433604448108533,0.0,0.0,16.76086299610771,22.9,24.5,970.0,V17
default_maize,2012,1,100/100,2012-07-12,74.0,789.4460000000001,1.3127324450592026,0.9588257236290677,1417.8640902278441,0.33496453102301327,0.03986950546531751,6.301916305429742,0.0,0.0,29.252183721286013,50.7,42.5,980.0,V18
default_maize,2012,1,100/100,2012-07-17,79.0,862.9560000000002,1.3719968627068053,0.9588257236290677,1587.1632263600263,0.6779644763499226,0.039102535277334795,6.092398269682325,0.031028039512416665,0.0,20.211508586127202,35.6,38.8,1005.0,
default_maize,2012,1,100/100,2012-07-19,81.0,892.3710000000002,1.3954484026879972,0.9588257236290677,1654.1998882756293,0.8880773694625961,0.041369838197068604,6.408294114726852,3.4413955742862608,0.0,4.998692193661212,12.2,25.1,1015.0,VT
default_maize,2012,1,100/100,2012-07-22,84.0,939.5560000000002,1.4303675982853732,0.9588257236290677,1754.0231034305302,1.3104043756409085,0.04433336972829285,6.807293670049245,0.011181396164751419,0.0,26.258129448000368,64.2,52.7,1030.0,
