
### Data Description
LIRF Soil Sampling, 2007 | 
Column | Description
General | This spreadsheet contains 5 worksheets:  Data Description (this worksheet), Soil Texture data for 16 sampling locations, Moisuture Release (and chemical analysis) data for selected subset of the soil texture samples, Soil Bulk Density results for 93 core samples, and site Maps showing the sampling locations and soil type and variability maps.
General | Initial Soil Characterization was carried out for the main LIRF plots in 2007/08.  The field was cropped to spring wheat (Blks 1 and 2) and winter wheat (blks 3 and 4) in 2007.  After harvest, the field soils were ripped (to 50 cm depth), disked, and land planed, and then surveyed and mapped using the Veris electroconductivity trailer (7/31/07) and the EM-38 electromagnatism device (8/14/07).  Sections A, C, and D were surveyed with the Veris again in spring 2008 (4/14/08) (Section B was planted to winter wheat).  M. Brodahl divided the field into 4 EC classes and selected 16 soil sampling sites - one in each field section and block. Electrical Conductivity maps and sampling sites are on the Maps worksheet.
General | Soil samples were collected at each of the 16 sampling sites with a Giddings hydraulic coring rig to 180 cm depth and divided into soil horizons by M. Brodahl.  The soil samples were air dried, gravel was removed and measured, and subdivided into samples for chemical analysis, textural analysis, and pressure plate analysis.  Soil texture was measured on two-to-four subsamples by hydrometer after removal of the coarse fraction.  Texture was divided into sand, silt, and clay size fractions and soil type determined according to the standard texture triangle.  pH, Electrical Conductivity, and CaCO3 equivalent were measured on a saturated paste extract by the Colorado State University Soil, Water, and Plant Testing Laboratory.   D. Santisteven did the texture analyses in house.  
General | 27 site x horizon samples were selected as representative of the soils to determine moisture release characteristics by pressure plate and conduct further chemical analysis.  D. Santisteven did the pressure plate analysis.  CSU Soil Water Plant testing lab conducted the chemical analyses. 
Soil Texture Worksheet | 
A | Sampling site ID (see Map worksheet)
B-C | Sampling site location (latitute, longitude)
D-E | Sampling site EC class - as measured by Veris device.  See Maps worksheet.
F-G | Upper and Lower extent (depth, cm) of the soil horizon
H-K | Sample percent Gravel; and percent Sand, Silt, Clay; mean of subsamples.  Most samples included 2 subsamples (A and B); a few included 4 subsamples (C and D).
L | Sample soil type by texture triangle
M-O | Percent Sand, Clay, and Silt in subsample A
P-R | Percent Sand, Clay, and Silt in subsample B
S-U | Percent Sand, Clay, and Silt in subsample C (only selected samples)
V-X | Percent Sand, Clay, and Silt in subsample D (only selected samples)
Y | pH of saturated paste
Z | EC (electroconductivity) of extract from saturated paste
AA | CaCO3 equivalent of extract from saturated paste
AB | Sample bag ID
Moisture Release Worksheet | 
A | Sampling site location
B | Plot ID containing the sample site:  Field section letter (west to east), Rep number (north to south)
C-D | Depth to sampled horizon (upper and lower extent) (cm)
E - H | Sample percent Gravel, Sand, Clay, and Silt; mean of subsamples (same as shown on the Soil Texture worksheet).
I | Sample percent organic matter
J | Sample soil type by texture triangle
K-M | Soil hydraulic parameters (ϴ33, ϴ1500, and TAW) estimated from texture by the Saxton and Rawls (2006) method based on measured %sand, %clay, %OM (organic matter) and %gravel.  http://hydrolab.arsusda.gov/soilwater/Index.htm 
N-AH | Pressure Plate Analysis:  27 location x horizon samples were selected to represent a range of soil textures and conditions.  Soil water content (volumetric) vs. soil water potential (pressure plate pressure) was determined on two disturbed subsamples of these these samples by pressure plate analysis at 3, 10, 33, 50, 100, and 1475 kPa. (ϴ10, ϴ10, ϴ33, ϴ50, ϴ100,and ϴ1500) 

### Soil Texture
LIRF Soil Texture Analysis 2007 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Site | Site Location |  | Site EC Class |  | Sample Depth (cm) |  |  | Texture Analysis - Mean |  |  |  | "A" Sample Texture (%) |  |  | "B" Sample Texture (%) |  | 
3 |  |  |  |  | 152.4 | 182.88 | 0.033322226 | 80 | 14 | 6 | SL | 80 | 14 | 6 | 80 | 14 | 6
4 | -104.6355512 | 40.44939365 | 1 | 1 | 0 | 38.1 | 10.71428571 | 70.5 | 17 | 12.5 | SL | 71 | 16 | 13 | 70 | 18 | 12
4 |  |  |  |  | 38.1 | 50.8 | 14.28571429 | 78 | 15 | 7 | SL | 78 | 15 | 7 | 78 | 15 | 7
4 |  |  |  |  | 50.8 | 60.96 | 19.35483871 | 79.5 | 11 | 9.5 | SL | 80 | 11 | 9 | 79 | 11 | 10

### Moisture Release
LIRF 2007 Soil Sample Analysis |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Sample Location and Depth |  |  |  | Soil Texture |  |  |  |  |  | Estimated SWC |  |  | Pressure Plate Measured SWC |  |  |  | 
 | Corresponding | Sample Depth (cm) |  |  |  |  |  |  |  | (Saxton&Rawls, 2006) |  |  | Subsample 1 |  |  |  | 
SiteID | Plot ID | Upper | Lower | %Gravel | %Sand | %Clay | %Silt | OM% | Classification | ϴ33 | ϴ1500 | TAW | ϴ3 | ϴ10 | ϴ33 | ϴ50 | ϴ100
1 | A15 | 33.02 | 60.96 | 0.28490029 | 67 | 24 | 9 | 0.5 | SCL | 0.23 | 0.15 | 0.08 | 0.318369758 | 0.269049025 | 0.21234495 | 0.198759598 | 0.180153574
2 | B15 | 0 | 27.94 | 11.3924051 | 73.5 | 17 | 9.5 | 1.6 | SL | 0.17 | 0.11 | 0.07 | 0.289131719 | 0.254873006 | 0.236266982 | 0.226816302 | 0.211163615
3 | C13 | 73.66 | 91.44 | 3.61445783 | 80 | 13 | 7 |  | SL | 0.14 | 0.08 | 0.06 | 0.236562315 | 0.168044891 | 0.124040165 | 0.116656822 | 0.106024808
4 | D14 | 0 | 38.1 | 10.7142857 | 70.5 | 17 | 12.5 | 1.9 | SL | 0.18 | 0.11 | 0.07 | 0.325753101 | 0.256054341 | 0.191671589 | 0.176314235 | 0.152687537
4 | D14 | 50.8 | 60.96 | 13.79310345 | 79.5 | 11 | 9.5 | 0.8 | SL | 0.13 | 0.07 | 0.06 | 0.212049616 | 0.143827525 | 0.101004135 | 0.08003544 | 0.077377437
5 | D22 | 0 | 25.4 | 2.777777778 | 65 | 19.5 | 15.5 | 2.3 | SL | 0.21 | 0.12 | 0.08 | 0.376845836 | 0.315121087 | 0.248670998 | 0.233313644 | 0.208210278
5 | D22 | 35.56 | 58.42 | 2.777777778 | 64 | 20 | 16 | 1 | SL | 0.22 | 0.13 | 0.09 | 0.367395157 | 0.310986415 | 0.254577673 | 0.233904312 | 0.204370939
5 | D22 | 58.42 | 91.44 | 5.882352941 | 39.5 | 36 | 24.5 |  | CL | 0.34 | 0.22 | 0.12 | 0.451269935 | 0.400767868 | 0.339043119 | 0.282634377 | 0.270525694
5 | D22 | 154.94 | 182.88 | 6.25 | 90 | 8 | 2 |  | S | 0.09 | 0.05 | 0.04 | 0.214412286 | 0.123449498 | 0.110454814 | 0.080626108 | 0.074719433
6 | C21 | 60.96 | 93.98 | 0.22172949 | 88.5 | 9 | 2.5 |  | LS | 0.08856956217032917 | 0.0468384736 | 0.04 | 0.272002363 | 0.152687537 | 0.103957472 | 0.094506793 | 0.084465446
6 | C21 | 93.98 | 121.92 | 18.9189189 | 88.5 | 7.5 | 4 |  | LS | 0.09 | 0.05 | 0.04 | 0.218546958 | 0.133490845 | 0.098346131 | 0.088600118 | 0.078558771
