variant,Year,Trt_code,Treatment,HarvestDate,DryYield_AquaCrop_t_ha,FreshYield_AquaCrop_t_ha,SeasonalIrr_AquaCrop_mm,SeasonalET_AquaCrop_mm,Yield_kg_ha,Annual_ETc_mm,Yield_dry_t_ha
default_maize,2012,1,100/100,2012-09-09 00:00:00,14.110733220911232,15.678592467679147,638.1999999999999,626.7729997871872,15733.992159616875,770.7831007454885,13.29522337487626
default_maize,2012,2,100/50,2012-09-09 00:00:00,14.114544645345577,15.682827383717306,511.2,618.993683449698,12673.705877886356,653.1460949508372,10.709281466813971
default_maize,2012,3,80/80,2012-09-09 00:00:00,14.127130113075928,15.696811236751032,546.5,626.8281267543524,14946.326894705267,675.4905072903733,12.629646226025951
default_maize,2012,4,80/65,2012-09-09 00:00:00,14.12835080384845,15.69816755983161,485.8,619.2223830071945,13332.045075873235,610.7806182603341,11.265578089112884
default_maize,2012,5,80/50,2012-09-09 00:00:00,14.127608300694225,15.697342556326916,456.4,619.0227782893628,11274.593084905717,586.1831390298669,9.52703115674533
default_maize,2012,6,80/40,2012-09-09 00:00:00,14.123475578446829,15.692750642718698,447.29999999999995,618.5006237297721,12806.985954148307,600.5606915353773,10.82190313125532
default_maize,2012,7,65/80,2012-09-09 00:00:00,14.129302587361835,15.699225097068705,497.6999999999999,625.6961823069711,14711.6786094809,640.91866791242,12.43136842501136
default_maize,2012,8,65/65,2012-09-09 00:00:00,14.12421137531965,15.69356819479961,443.79999999999995,617.7086011886747,12615.487312571784,565.4284570146739,10.660086779123157
default_maize,2012,9,65/50,2012-09-09 00:00:00,14.097700840897915,15.664112045442128,426.79999999999995,616.6038723366657,12038.913475990834,551.4353497659324,10.172881887212254
default_maize,2012,10,65/40,2012-09-09 00:00:00,14.095592742498727,15.661769713887475,407.2,616.3821014036688,11642.914890861395,544.7363166561272,9.83826308277788
default_maize,2012,11,50/50,2012-09-09 00:00:00,13.5226367823556,15.02515198039511,397.5999999999999,599.025313458899,11375.560651538502,530.9685017671595,9.612348750550034
default_maize,2012,12,40/40,2012-09-09 00:00:00,12.811589246464315,14.235099162738127,347.7,576.7043461152941,10685.614734499954,476.6008678435148,9.029344450652461
default_maize,2013,1,100/100,2013-09-24 00:00:00,13.985235562112983,15.53915062456998,508.5999999999999,549.8280460331202,15699.400422165467,658.9169450180244,13.265993356729819
default_maize,2013,2,100/50,2013-09-24 00:00:00,13.9853209499435,15.539245499937222,414.6000000000001,549.8229218747325,13076.020146452964,565.1947378959761,11.049237023752754
default_maize,2013,3,80/80,2013-09-24 00:00:00,13.959384179018512,15.510426865576123,424.59999999999997,548.568631179455,15300.709668643882,581.1055827894791,12.92909967000408
default_maize,2013,4,80/65,2013-09-24 00:00:00,13.959126617954945,15.510140686616605,404.1,548.5037369087361,14848.343850663652,565.635924569571,12.546850553810785
default_maize,2013,5,80/50,2013-09-24 00:00:00,13.963832182794294,15.515369091993659,372.90000000000003,549.2125652692607,13066.117023118875,505.1238542676305,11.04086888453545
default_maize,2013,6,80/40,2013-09-24 00:00:00,13.961604356608524,15.512893729565025,344.6,547.8859346602713,10600.22741421654,493.2172199621322,8.957192165012977
default_maize,2013,7,65/80,2013-09-24 00:00:00,13.813519272550888,15.348354747278764,401.7,545.8134717143187,15098.96896238575,558.5063642114653,12.758628773215959
default_maize,2013,8,65/65,2013-09-24 00:00:00,13.85266851986315,15.391853910959055,383.09999999999997,548.740918053358,13902.860840737338,540.8968625907834,11.74791741042305
