variant,Year,Trt_code,Treatment,HarvestDate,DryYield_AquaCrop_t_ha,FreshYield_AquaCrop_t_ha,SeasonalIrr_AquaCrop_mm,SeasonalET_AquaCrop_mm
default_maize,2012,1,100/100,2012-09-09 00:00:00,14.110733220911232,15.678592467679147,638.1999999999999,626.7729997871872
default_maize,2012,2,100/50,2012-09-09 00:00:00,14.114544645345577,15.682827383717306,511.2,618.993683449698
default_maize,2012,3,80/80,2012-09-09 00:00:00,14.127130113075928,15.696811236751032,546.5,626.8281267543524
default_maize,2012,4,80/65,2012-09-09 00:00:00,14.12835080384845,15.69816755983161,485.8,619.2223830071945
default_maize,2012,5,80/50,2012-09-09 00:00:00,14.127608300694225,15.697342556326916,456.4,619.0227782893628
default_maize,2012,6,80/40,2012-09-09 00:00:00,14.123475578446829,15.692750642718698,447.29999999999995,618.5006237297721
default_maize,2012,7,65/80,2012-09-09 00:00:00,14.129302587361835,15.699225097068705,497.6999999999999,625.6961823069711
default_maize,2012,8,65/65,2012-09-09 00:00:00,14.12421137531965,15.69356819479961,443.79999999999995,617.7086011886747
default_maize,2012,9,65/50,2012-09-09 00:00:00,14.097700840897915,15.664112045442128,426.79999999999995,616.6038723366657
default_maize,2012,10,65/40,2012-09-09 00:00:00,14.095592742498727,15.661769713887475,407.2,616.3821014036688
default_maize,2012,11,50/50,2012-09-09 00:00:00,13.5226367823556,15.02515198039511,397.5999999999999,599.025313458899
default_maize,2012,12,40/40,2012-09-09 00:00:00,12.811589246464315,14.235099162738127,347.7,576.7043461152941
default_maize,2013,1,100/100,2013-09-24 00:00:00,13.985235562112983,15.53915062456998,508.5999999999999,549.8280460331202
default_maize,2013,2,100/50,2013-09-24 00:00:00,13.9853209499435,15.539245499937222,414.6000000000001,549.8229218747325
default_maize,2013,3,80/80,2013-09-24 00:00:00,13.959384179018512,15.510426865576123,424.59999999999997,548.568631179455
default_maize,2013,4,80/65,2013-09-24 00:00:00,13.959126617954945,15.510140686616605,404.1,548.5037369087361
default_maize,2013,5,80/50,2013-09-24 00:00:00,13.963832182794294,15.515369091993659,372.90000000000003,549.2125652692607
default_maize,2013,6,80/40,2013-09-24 00:00:00,13.961604356608524,15.512893729565025,344.6,547.8859346602713
default_maize,2013,7,65/80,2013-09-24 00:00:00,13.813519272550888,15.348354747278764,401.7,545.8134717143187
default_maize,2013,8,65/65,2013-09-24 00:00:00,13.85266851986315,15.391853910959055,383.09999999999997,548.740918053358
default_maize,2013,9,65/50,2013-09-24 00:00:00,13.851074308275257,15.390082564750285,353.0,548.6962392426872
default_maize,2013,10,65/40,2013-09-24 00:00:00,13.871019003541491,15.412243337268324,326.1,547.6114082923398
default_maize,2013,11,50/50,2013-09-24 00:00:00,12.9769030080816,14.418781120090665,323.70000000000005,525.7586893208246
default_maize,2013,12,40/40,2013-09-24 00:00:00,12.76694879604398,14.185498662271089,294.8,522.7260358020246
root_anchored,2012,1,100/100,2012-09-09 00:00:00,12.914278830517157,14.349198700574618,638.1999999999999,598.0543775423973
root_anchored,2012,2,100/50,2012-09-09 00:00:00,12.7475126472743,14.16390294141589,511.2,588.3764207561771
root_anchored,2012,3,80/80,2012-09-09 00:00:00,12.788867931989136,14.209853257765706,546.5,598.8177628118251
root_anchored,2012,4,80/65,2012-09-09 00:00:00,12.792929842871528,14.214366492079476,485.8,590.8947268124889
root_anchored,2012,5,80/50,2012-09-09 00:00:00,12.776029947452106,14.19558883050234,456.4,590.0894103976791
root_anchored,2012,6,80/40,2012-09-09 00:00:00,12.765400049678785,14.183777832976428,447.29999999999995,589.3847308161808
root_anchored,2012,7,65/80,2012-09-09 00:00:00,12.455747222228538,13.839719135809487,497.6999999999999,587.8259014584611
root_anchored,2012,8,65/65,2012-09-09 00:00:00,12.446332666190882,13.829258517989869,443.79999999999995,578.9825541131709
root_anchored,2012,9,65/50,2012-09-09 00:00:00,12.392743372512502,13.769714858347225,426.79999999999995,577.1463306042638
root_anchored,2012,10,65/40,2012-09-09 00:00:00,12.389490667452927,13.766100741614363,407.2,577.0104545616891
root_anchored,2012,11,50/50,2012-09-09 00:00:00,11.454957666324859,12.727730740360954,397.5999999999999,547.0610409559984
root_anchored,2012,12,40/40,2012-09-09 00:00:00,10.484905519774925,11.649895021972139,347.7,515.1524112314446
root_anchored,2013,1,100/100,2013-09-24 00:00:00,12.16373806765793,13.51526451961992,508.5999999999999,511.4945907120231
root_anchored,2013,2,100/50,2013-09-24 00:00:00,12.164734923028854,13.516372136698728,414.6000000000001,511.5051772365874
root_anchored,2013,3,80/80,2013-09-24 00:00:00,12.020024541593408,13.355582823992675,424.59999999999997,508.1711851274496
root_anchored,2013,4,80/65,2013-09-24 00:00:00,12.019035256698109,13.354483618553454,404.1,508.0254390904324
root_anchored,2013,5,80/50,2013-09-24 00:00:00,12.050278312177108,13.389198124641231,372.90000000000003,509.16231436285364
root_anchored,2013,6,80/40,2013-09-24 00:00:00,12.047163355766191,13.385737061962434,344.6,507.35226438739664
root_anchored,2013,7,65/80,2013-09-24 00:00:00,11.831623637219614,13.146248485799571,401.7,505.4072564924534
root_anchored,2013,8,65/65,2013-09-24 00:00:00,11.934805943184594,13.260895492427327,383.09999999999997,509.3866646569867
