variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm
default_maize,2012,1,100/100,2012-04-30,1.0,5.058,0.3,0.0,0.0,0.0,4.749014707448545,0.0,0.0,0.0,4.749014707448521
default_maize,2012,1,100/100,2012-05-01,2.0,13.997999999999998,0.3,0.0,0.0,0.0,1.997214106957522,0.0,0.0,0.0,6.746228814406027
default_maize,2012,1,100/100,2012-05-02,3.0,22.897999999999996,0.3,0.0,0.0,0.0,1.8296936468750542,0.0,0.0,0.0,8.57592246128106
default_maize,2012,1,100/100,2012-05-03,4.0,31.283499999999997,0.3,0.0,0.0,0.0,1.755281169578276,0.0,0.0,0.0,10.33120363085932
default_maize,2012,1,100/100,2012-05-04,5.0,42.1575,0.3,0.0,0.0,0.0,1.3571068874749137,0.0,0.0,0.0,11.688310518334216
default_maize,2012,1,100/100,2012-05-05,6.0,53.302499999999995,0.3067033722061107,0.004875,0.2888038677669833,0.0,0.8488650287005411,0.04926586714806764,0.0,0.0,12.586441414182813
default_maize,2012,1,100/100,2012-05-06,7.0,56.291,0.3306558377349914,0.005738742470010385,0.3272741661846082,0.0,2.7073043842335833,0.005518054934625717,0.0,0.0,13.521263853351012
default_maize,2012,1,100/100,2012-05-07,8.0,56.291,0.35324995797537406,0.006755521053764285,0.3272741661846082,0.0,1.531680696365608,0.0,0.0,0.0,11.24294454971662
default_maize,2012,1,100/100,2012-05-08,9.0,58.144499999999994,0.37481743612516694,0.007896747801174152,0.3498818917607418,0.0,2.9386720618055016,0.003245872080813505,0.0,0.0,14.184862483602926
default_maize,2012,1,100/100,2012-05-09,10.0,64.69399999999999,0.3955669734288025,0.00916650700135766,0.6751950417295101,0.0,1.0933965661553222,0.05478285308056664,0.0,0.0,15.333041902838813
default_maize,2012,1,100/100,2012-05-10,11.0,73.52499999999999,0.4156410792648535,0.010603871254963437,1.2318023265341096,0.0,0.935665071451981,0.10354785953760244,0.0,0.0,16.37225483382839
default_maize,2012,1,100/100,2012-05-11,12.0,73.52499999999999,0.4351427511575381,0.012446983506376604,1.2318023265341096,0.0,0.4604340071441648,0.0,0.0,0.0,16.578688840972543
default_maize,2012,1,100/100,2012-05-12,13.0,73.52499999999999,0.45414961195166176,0.01463538552885948,1.2318023265341096,0.0,1.5779776676628046,0.0,0.0,0.0,16.632666508635346
default_maize,2012,1,100/100,2012-05-13,14.0,76.22349999999999,0.4727220749139498,0.017091908866666842,1.3252536342845993,0.0,0.45310772844338004,0.010963320794844609,0.0,0.0,17.09673755787356
default_maize,2012,1,100/100,2012-05-14,15.0,82.28949999999999,0.49090837611097204,0.019846943289922245,1.9306258992313126,0.0,0.5841631181544679,0.10293216720413528,0.0,0.0,17.783832843232137
default_maize,2012,1,100/100,2012-05-15,16.0,90.088,0.5087478379094756,0.022947870127215112,2.9846786699750387,0.0,0.6275334437459978,0.21280546003273104,0.0,0.0,18.62417174701085
default_maize,2012,1,100/100,2012-05-16,17.0,100.187,0.5262730739612154,0.026626763828817592,4.489170275837706,0.0,0.4853382283529839,0.2619744995481654,0.0,0.0,19.371484474911973
default_maize,2012,1,100/100,2012-05-17,18.0,110.642,0.5435115302187924,0.030943327471278818,6.2582318355592985,0.0,0.40926464032088394,0.2769870259502773,0.0,0.0,20.05773614118312
default_maize,2012,1,100/100,2012-05-18,19.0,120.282,0.5604865928998456,0.03602999657652673,8.236190922071689,0.0,1.5735251453477106,0.3111479601359939,0.0,0.0,20.672409246666795
default_maize,2012,1,100/100,2012-05-19,20.0,124.09299999999999,0.5772184045675322,0.04223749864364828,8.695880842418696,0.0,0.6707521781078359,0.03804977559584517,0.0,0.0,20.873211200370463
default_maize,2012,1,100/100,2012-05-20,21.0,130.22199999999998,0.5937244778689015,0.049089033195909904,10.198284370471804,0.0,0.36879085822163493,0.23968891639829298,0.0,0.0,21.481690974990382
default_maize,2012,1,100/100,2012-05-21,22.0,140.505,0.6100201655513399,0.056945367668561814,13.384282658024246,0.0,0.6271889693292296,0.5682904868486899,0.0,0.0,22.4231704311683
default_maize,2012,1,100/100,2012-05-22,23.0,151.97,0.6261190262016995,0.06602844457408533,17.185987200401982,0.0,2.80127176492661,0.7837152608091698,0.0,0.0,23.468157456904077
default_maize,2012,1,100/100,2012-05-23,24.0,158.775,0.6420331128959154,0.07772722853457031,20.019465749498963,0.0,4.31347960554692,0.3708681128570566,0.0,0.0,13.42050517530806
default_maize,2012,1,100/100,2012-05-24,25.0,164.32500000000002,0.6577732039014147,0.09123929005573315,22.24155229563117,0.0,3.3302046448343785,0.36429828460554486,0.0,0.0,17.11500810474797
default_maize,2012,1,100/100,2012-05-25,26.0,170.81500000000003,0.6733489891676036,0.10740141098783167,25.783022991005645,0.0,0.5558955649735842,0.31759992669325177,0.0,0.0,17.988503596414798
default_maize,2012,1,100/100,2012-05-26,27.0,183.97000000000003,0.6887692226287104,0.12504065137952627,32.947972062372536,0.0,0.9842483754719088,1.5237341793998445,0.0,0.0,20.49648615128654
default_maize,2012,1,100/100,2012-05-27,28.0,191.55500000000004,0.704041847747743,0.1454655099849308,38.95466544376904,0.0,0.593990323783561,1.1781074182388622,0.0,0.0,22.268583893308953
default_maize,2012,1,100/100,2012-05-28,29.0,197.84700000000004,0.719174101883753,0.16904053123474705,44.03227066277009,0.0,0.4201158321905173,0.9811747195004373,0.0,0.0,23.669874444999905
default_maize,2012,1,100/100,2012-05-29,30.0,205.51800000000003,0.73417260373038,0.1962104519556691,52.01776071669733,0.0,0.3181789735015198,1.5288818386219114,0.0,0.0,25.51693525712333
default_maize,2012,1,100/100,2012-05-30,31.0,215.73300000000003,0.7490434270959047,0.23097461614316517,63.673383838635154,0.0,5.0642700575604875,2.394677342850273,0.0,24.7,6.751882657534089
default_maize,2012,1,100/100,2012-05-31,32.0,222.77100000000004,0.7637921635692013,0.2718982234164365,73.03821978337388,0.0,3.6601624040263654,1.6298589278803204,0.0,0.0,12.041903989440758
default_maize,2012,1,100/100,2012-06-01,33.0,232.32600000000005,0.7784239760707019,0.319243338184543,87.85611938930482,0.0,2.3887564185544115,2.8980969387064266,0.0,0.0,17.07475734670159
default_maize,2012,1,100/100,2012-06-02,34.0,243.44600000000005,0.7929436448733297,0.3745615106441639,105.79654773042677,0.0,0.6274811899740336,2.899294772526872,0.0,0.0,20.601533309202477
default_maize,2012,1,100/100,2012-06-03,35.0,255.63600000000005,0.8073556073605817,0.4377095307626987,126.80298172017493,0.0,0.26632753333544174,3.807391695944169,0.0,0.0,24.675252538482077
default_maize,2012,1,100/100,2012-06-04,36.0,268.2010000000001,0.8216639925428137,0.5040910567756685,150.13519468547358,0.0,1.394522912122034,6.331772381999994,0.0,0.0,31.131547832604102
default_maize,2012,1,100/100,2012-06-05,37.0,282.3710000000001,0.8358726511604564,0.561200233628773,175.32959902376794,0.0,1.5741001766650606,7.070070023504929,0.0,0.0,38.251718032774086
default_maize,2012,1,100/100,2012-06-06,38.0,297.1010000000001,0.8499851820513775,0.6210248902750202,202.35092394234746,0.0,2.1095690527225144,6.141388860840666,0.0,29.7,16.54867594633725
default_maize,2012,1,100/100,2012-06-07,39.0,310.9310000000001,0.8640049553393366,0.6718451757056189,230.83480810517966,0.0,1.2898328671890322,4.747235163026829,0.0,0.0,9.697215966995671
default_maize,2012,1,100/100,2012-06-08,40.0,324.7210000000001,0.8779351329042943,0.7150163238517704,260.50332003548033,0.0,1.3439712407171893,6.14425388278173,0.0,0.0,17.18544109049459
default_maize,2012,1,100/100,2012-06-09,41.0,337.8760000000001,0.89177868651793,0.7507741039766443,291.1167700574283,0.0,1.0395451638063495,5.793715907745998,0.0,0.0,24.018702162046942
default_maize,2012,1,100/100,2012-06-10,42.0,349.1910000000001,0.9055384139650032,0.7796313761205182,321.46813892896597,0.0,1.0775178225183502,6.9413760049468465,0.0,0.0,32.037595989512134
default_maize,2012,1,100/100,2012-06-11,43.0,359.2410000000001,0.9192169534200737,0.803531884520102,351.16409908162495,0.0,0.8524944991598477,6.206947215577613,0.0,0.0,39.097037704249594
default_maize,2012,1,100/100,2012-06-12,44.0,370.8760000000001,0.932816796307215,0.8233733132323013,382.770217857009,0.0,0.6766392678028403,6.003375921881172,0.0,0.0,45.77705289393361
default_maize,2012,1,100/100,2012-06-13,45.0,382.7660000000001,0.9463402988358248,0.8382214317168932,414.86578309166896,0.0,0.7202621016828717,7.406253808708658,0.0,0.0,53.903568804325126
default_maize,2012,1,100/100,2012-06-14,46.0,396.77600000000007,0.9597896923770569,0.856326337084234,448.1064802986042,0.0,0.5995557356440308,7.322668894623462,0.0,35.4,26.425793434592613
default_maize,2012,1,100/100,2012-06-15,47.0,411.47600000000006,0.9731670928216016,0.8717057740790121,481.71290020173046,0.0,0.42843993160065047,6.164294917608004,0.0,0.0,32.76452828380125
default_maize,2012,1,100/100,2012-06-16,48.0,423.96100000000007,0.9864745090396604,0.8837226804416227,515.6025290311273,0.0,0.1476526323239677,6.039737035853325,0.0,0.0,38.95191795197852
default_maize,2012,1,100/100,2012-06-17,49.0,436.41600000000005,0.9997138505472563,0.8933414607052672,549.7173178975606,0.0,0.05886256422748125,6.964665871724278,0.0,0.0,45.975446387930276
default_maize,2012,1,100/100,2012-06-18,50.0,449.59100000000007,1.012886934468944,0.9006425251414176,584.0021424777376,0.0,0.26727750322248045,8.147334893136811,0.0,0.0,54.13605878428955
default_maize,2012,1,100/100,2012-06-19,51.0,463.05600000000004,1.0259954918750709,0.909329566243853,618.4883406825134,0.0,0.3639429284770139,8.914811306823104,0.0,30.6,31.290813019589667
default_maize,2012,1,100/100,2012-06-20,52.0,473.951,1.0390411735616103,0.9167079052935622,651.6907513035566,0.0,0.20640874471158532,5.579527762703566,0.0,0.0,37.0767495270048
default_maize,2012,1,100/100,2012-06-21,53.0,488.036,1.052025555331955,0.9218716784732862,686.4659662023195,0.0,0.27988720037175874,8.82401907533416,0.0,0.0,46.18065580271072
default_maize,2012,1,100/100,2012-06-22,54.0,501.466,1.0649501428326793,0.926402618431042,721.3451121264973,0.0,0.1860970414742766,6.534022420922456,0.0,0.0,52.39277526510745
default_maize,2012,1,100/100,2012-06-23,55.0,515.466,1.077816375988921,0.929625934245142,756.2980455121149,0.0,0.2219424124849333,8.472904122413546,0.0,0.0,61.08762180000593
default_maize,2012,1,100/100,2012-06-24,56.0,530.4110000000001,1.0906256330795945,0.9318933087762281,791.3028101861889,0.0,0.1040208868573426,8.495498077170017,0.0,0.0,69.6871407640333
default_maize,2012,1,100/100,2012-06-25,57.0,546.7560000000001,1.1033792344879074,0.9358125657001154,826.3970278661258,0.0,0.1930695454056521,8.839191862133935,0.0,40.1,38.61940217157285
default_maize,2012,1,100/100,2012-06-26,58.0,561.801,1.1160784461585804,0.9391378787155413,861.5670060943206,0.0,0.1493834590349753,7.651579212992688,0.0,0.0,46.42036484360052
default_maize,2012,1,100/100,2012-06-27,59.0,577.556,1.128724482789612,0.9415879847224934,896.7927264588816,0.0,0.09803537221463668,5.500442099238329,0.0,0.0,51.764842315053485
default_maize,2012,1,100/100,2012-06-28,60.0,591.336,1.1413185107833455,0.952936278033198,932.1791811301989,0.0,0.06491108888298634,6.445134904318391,0.0,0.0,58.27488830825486
default_maize,2012,1,100/100,2012-06-29,61.0,605.171,1.1538616509788808,0.9539994441694999,967.4927208018087,0.0,0.06132356474101514,6.541844751931454,0.0,40.1,24.778056624927316
default_maize,2012,1,100/100,2012-06-30,62.0,619.5260000000001,1.1663549811855232,0.9549025923664362,1002.7294494877987,0.0,0.05728949765248987,6.522458188677429,0.0,0.0,31.357804311257237
default_maize,2012,1,100/100,2012-07-01,63.0,633.3760000000001,1.1787995385348755,0.9556698070451001,1037.8860821348069,0.0,0.0653337392845734,7.887353408626559,0.0,0.0,39.310491459168375
default_maize,2012,1,100/100,2012-07-02,64.0,647.8560000000001,1.1911963216673607,0.9563215476621485,1072.9598486858206,0.0,0.06255496451428223,7.958425164729608,0.0,0.0,47.077471588412266
default_maize,2012,1,100/100,2012-07-03,65.0,662.6260000000001,1.2035462927673455,0.9568751943059411,1107.9484132649966,0.0,0.044888738085580804,5.983193886177232,0.0,0.0,53.105554212675074
default_maize,2012,1,100/100,2012-07-04,66.0,676.5360000000001,1.2158503794596238,0.957345511174592,1142.8498060815248,0.0,0.052091453908630084,7.234603337739694,0.0,44.1,16.2922490043234
default_maize,2012,1,100/100,2012-07-05,67.0,693.686,1.2281094765787457,0.9577450402955893,1177.6623660379544,0.0,0.04606731560039047,6.632726828967107,0.0,0.0,22.971043148890885
default_maize,2012,1,100/100,2012-07-06,68.0,709.0210000000001,1.2403244478215725,0.9580844359863769,1212.3846923515218,0.0,0.04392772168313323,6.52634633977945,0.0,0.0,24.207317210353466
default_maize,2012,1,100/100,2012-07-07,69.0,722.2660000000001,1.2524961272924404,0.9583727489750213,1247.0156037670818,0.0,0.029570468660995317,4.514268360929193,0.0,0.0,4.018914978695343
