Year,Trt_code,Date,dap,z_root_model_m,z_root_USDA_audit_m,SWD_modelroot,SWD_USDAroot_audit,Canopy_AC_pct,Biomass_AC,Es,Tr
2012,1,2012-04-30,1.0,0.08,,3.5757955736322145,,0.0,0.0,4.469744467040293,0.0
2012,1,2012-05-01,2.0,0.08,,4.913467870933774,,0.0,0.0,1.672090371626957,0.0
2012,1,2012-05-02,3.0,0.08,,6.092180302821306,,0.0,0.0,1.4733905398594245,0.0
2012,1,2012-05-03,4.0,0.08,,7.191627689080374,,0.0,0.0,1.3743092328238393,0.0
2012,1,2012-05-04,5.0,0.08,,8.024474950124024,,0.0,0.0,1.0410590763045713,0.0
2012,1,2012-05-05,6.0,0.08,,8.538632768651455,,0.4875,0.0,0.642697273159294,0.0
2012,1,2012-05-06,7.0,0.08,,9.636546740989246,,0.5738742470010385,0.0,3.1503924654222466,0.0
2012,1,2012-05-07,8.0,0.08,,7.8138912980817326,,0.6755521053764285,0.0,1.531680696365608,0.0
2012,1,2012-05-08,9.0,0.08,,10.200000000000001,,0.6693127862307413,0.0,3.035707595716126,0.0
2012,1,2012-05-09,10.0,0.08,,10.200000000000001,,0.6619209548482653,0.0,1.1706220068247004,0.0
2012,1,2012-05-10,11.0,0.08,,10.200000000000001,,0.6531637219016666,0.0,1.0166836456547317,0.0
2012,1,2012-05-11,12.0,0.08,,10.200000000000001,,0.6427888736519074,0.0,0.4827744254366772,0.0
2012,1,2012-05-12,13.0,0.08,,10.200000000000001,,0.6304976080361702,0.0,1.586666099246817,0.0
2012,1,2012-05-13,14.0,0.08,,10.200000000000001,,0.6159359289831668,0.0,0.5052056294497448,0.0
2012,1,2012-05-14,15.0,0.08,,10.200000000000001,,0.5986844511067813,0.0,0.641535868026261,0.0
2012,1,2012-05-15,16.0,0.08,,10.200000000000001,,0.5782463211468956,0.0,0.6535893988489779,0.0
2012,1,2012-05-16,17.0,0.08,,10.200000000000001,,0.5540329082874117,0.0,0.4934995052678989,0.0
2012,1,2012-05-17,18.0,0.08,,10.200000000000001,,0.5253468512237497,0.0,0.4151754638444641,0.0
2012,1,2012-05-18,19.0,0.08,,10.200000000000001,,0.49136197372485746,0.0,1.581646844556491,0.0
2012,1,2012-05-19,20.0,0.08,,10.200000000000001,,0.45109949024546064,0.0,0.6766582592087337,0.0
