Year,Trt_code,DryYield_AC,SeasonalET_AC,HarvestDate
2012,1,5.630048902136038,516.6185151950879,2012-09-09 00:00:00
2012,2,5.171298987935872,483.7655588980748,2012-09-09 00:00:00
2012,3,5.418584804729106,513.2719099167613,2012-09-09 00:00:00
2012,4,5.416974778658028,498.781308681537,2012-09-09 00:00:00
2012,5,5.1120351748639,483.6519700180783,2012-09-09 00:00:00
2012,6,4.946530328163918,475.33100573216564,2012-09-09 00:00:00
2012,7,4.490376055200492,498.95793630148984,2012-09-09 00:00:00
2012,8,4.45953189137129,484.34712106950906,2012-09-09 00:00:00
2012,9,3.98136668285003,472.6235730787184,2012-09-09 00:00:00
2012,10,3.848372185110301,455.6373886073975,2012-09-09 00:00:00
2012,11,1.7658596593642957,426.0273865012451,2012-09-09 00:00:00
2012,12,0.0,374.7377269205219,2012-09-09 00:00:00
2013,1,4.8626449582683,484.50659644645157,2013-09-24 00:00:00
2013,2,4.947162497272421,471.46559417146665,2013-09-24 00:00:00
2013,3,3.6682590543235336,466.89572132971693,2013-09-24 00:00:00
2013,4,3.7078332205945754,463.7985862827941,2013-09-24 00:00:00
2013,5,3.8110145912028175,452.6185911093889,2013-09-24 00:00:00
2013,6,3.607607532324449,431.12236438168486,2013-09-24 00:00:00
2013,7,2.270058406482748,446.04191444977823,2013-09-24 00:00:00
2013,8,3.1153082757573936,453.24792693572925,2013-09-24 00:00:00
2013,9,3.093283129994709,437.77998650984523,2013-09-24 00:00:00
2013,10,3.095245360241653,418.3369737467366,2013-09-24 00:00:00
2013,11,1.1318721317947984,393.4825554208306,2013-09-24 00:00:00
2013,12,1.6514232383193872,369.31694282237277,2013-09-24 00:00:00
