variant,Year,Trt_code,Date,z_model,z_USDA,SWD_modelroot,SWD_USDAroot,Canopy_AC,Es,Tr
gross95,2012,1,2012-04-30,0.08,,3.753900049830017,,0.0,4.692375062287551,0.0
gross95,2012,1,2012-05-01,0.08,,5.2718430270147305,,0.0,1.8974287214809162,0.0
gross95,2012,1,2012-05-02,0.08,,6.643501024449703,,0.0,1.714572496793716,0.0
gross95,2012,1,2012-05-03,0.08,,7.946309182792724,,0.0,1.6285101979287846,0.0
gross95,2012,1,2012-05-04,0.08,,8.946351027475611,,0.0,1.2500523058536175,0.0
gross95,2012,1,2012-05-05,0.08,,9.569030653030312,,0.4875,0.7783495319433889,0.0
gross95,2012,1,2012-05-06,0.08,,10.58633306313073,,0.5738742470010385,3.0496280126255377,0.0
gross95,2012,1,2012-05-07,0.08,,8.763677620223216,,0.6755521053764285,1.531680696365608,0.0
gross95,2012,1,2012-05-08,0.08,,11.228728923706418,,0.6693127862307413,3.081314129354019,0.0
gross95,2012,1,2012-05-09,0.08,,12.194027183297466,,0.6619209548482653,1.206622824488818,0.0
gross95,2012,1,2012-05-10,0.08,,12.415687856150482,,0.6531637219016666,0.985736033449295,0.0
gross95,2012,1,2012-05-11,0.08,,12.415687856150482,,0.6427888736519074,0.4840079922606273,0.0
gross95,2012,1,2012-05-12,0.08,,12.415687856150482,,0.6304976080361702,1.5876180156698452,0.0
gross95,2012,1,2012-05-13,0.08,,12.415687856150482,,0.6159359289831668,0.5217902482684804,0.0
gross95,2012,1,2012-05-14,0.08,,12.415687856150482,,0.5986844511067813,0.685796659519991,0.0
gross95,2012,1,2012-05-15,0.08,,12.415687856150482,,0.5782463211468956,0.7247667675741237,0.0
gross95,2012,1,2012-05-16,0.08,,12.415687856150482,,0.5540329082874117,0.5608120017328235,0.0
gross95,2012,1,2012-05-17,0.08,,12.415687856150482,,0.5253468512237498,0.4619539308930875,0.0
gross95,2012,1,2012-05-18,0.08,,12.415687856150482,,0.49136197372485746,1.6131819458476029,0.0
gross95,2012,1,2012-05-19,0.08,,12.415687856150482,,0.45109949024546064,0.6968596617486045,0.0
gross95,2012,1,2012-05-20,0.08,,12.415687856150482,,0.40339981629543586,0.4248283114955311,0.0
gross95,2012,1,2012-05-21,0.08,,12.415687856150482,,0.3468891716874604,0.6946284114337576,0.0
gross95,2012,1,2012-05-22,0.08,,12.415687856150482,,0.2799400148157657,2.8828093041350016,0.0
gross95,2012,1,2012-05-23,0.08,,4.568063083527572,,0.32953921068278375,4.917483409091409,0.004985625129958451
gross95,2012,1,2012-05-24,0.09027524171086804,,9.435225686528577,,0.32729714898246665,4.741541664921375,0.0
gross95,2012,1,2012-05-25,0.09027524171086804,0.25,10.205482443913109,17.002565416218673,0.3238337431838241,0.8532314539256547,0.0
gross95,2012,1,2012-05-26,0.09027524171086804,,11.494056126725607,,0.31972953576767016,1.4273832541368732,0.0
gross95,2012,1,2012-05-27,0.09027524171086804,,12.316749228560461,,0.31486596519750626,0.9113164210291169,0.0
gross95,2012,1,2012-05-28,0.09027524171086804,,12.939779869691977,,0.3091025336034152,0.6901456360836621,0.0
gross95,2012,1,2012-05-29,0.09027524171086804,,13.441620270429473,,0.3022727481072324,0.5559003678381541,0.0
gross95,2012,1,2012-05-30,0.09027524171086804,,-2.132163616236468,,0.35582881171071296,7.715393681866887,0.0221610807496664
gross95,2012,1,2012-05-31,0.10011433168030215,0.335,4.2913034238865535,15.709730433955684,0.4188738284754046,4.88416274111963,0.018168619673230166
gross95,2012,1,2012-06-01,0.10987542002022938,,8.801489495970483,,0.4491429477041569,4.378485303918371,0.0
gross95,2012,1,2012-06-02,0.10987542002022938,,10.558174830980478,,0.4449902663408783,1.7566853350100122,0.0
gross95,2012,1,2012-06-03,0.10987542002022938,,11.894215738162908,,0.4400696885832304,1.3360409071824413,0.0
gross95,2012,1,2012-06-04,0.10987542002022938,,13.728615871022207,,0.4342392182555133,3.1044001328593076,0.0
gross95,2012,1,2012-06-05,0.10987542002022938,0.41,14.892505381964867,41.9356599422396,0.42733060184567145,2.6878895109426755,0.0
gross95,2012,1,2012-06-06,0.10987542002022938,,-5.010770647965667,,0.5030441586762776,8.513423137564768,0.05230083250470072
gross95,2012,1,2012-06-07,0.11922820837474701,0.44,-6.635061822641847,23.15291004656612,0.5921724877305019,6.233299280524038,0.05311893868878049
gross95,2012,1,2012-06-08,0.12852122615969186,0.455,4.419033373054581,32.75530773051774,0.6970923907509199,6.311725203008103,0.0885868172692901
